"unit","request","leg_prov","partner","geo","time","values","iso2"
"Number","Requests","Total requests","Switzerland","Lithuania",2012-01-01,67,"LT"
"Number","Requests","Total requests","Switzerland","Luxembourg",2012-01-01,53,"LU"
"Number","Requests","Total requests","Switzerland","Latvia",2012-01-01,27,"LV"
"Number","Requests","Total requests","Switzerland","Malta",2012-01-01,53,"MT"
"Number","Requests","Total requests","Switzerland","Netherlands",2012-01-01,NA,"NL"
"Number","Requests","Total requests","Switzerland","Norway",2012-01-01,100,"NO"
"Number","Requests","Total requests","Switzerland","Poland",2012-01-01,244,"PL"
"Number","Requests","Total requests","Switzerland","Portugal",2012-01-01,24,"PT"
"Number","Requests","Total requests","Switzerland","Romania",2012-01-01,119,"RO"
"Number","Requests","Total requests","Switzerland","Sweden",2012-01-01,229,"SE"
"Number","Requests","Total requests","Switzerland","Slovenia",2012-01-01,27,"SI"
"Number","Requests","Total requests","Switzerland","Slovakia",2012-01-01,43,"SK"
"Number","Requests","Total requests","Switzerland","United Kingdom",2012-01-01,49,"UK"
"Number","Requests","Total requests","Cyprus","Austria",2012-01-01,0,"AT"
"Number","Requests","Total requests","Cyprus","Belgium",2012-01-01,0,"BE"
"Number","Requests","Total requests","Cyprus","Bulgaria",2012-01-01,0,"BG"
"Number","Requests","Total requests","Cyprus","Switzerland",2012-01-01,0,"CH"
"Number","Requests","Total requests","Cyprus","Cyprus",2012-01-01,0,"CY"
"Number","Requests","Total requests","Cyprus","Czech Republic",2012-01-01,0,"CZ"
"Number","Requests","Total requests","Cyprus","Germany (until 1990 former territory of the FRG)",2012-01-01,3,"DE"
"Number","Requests","Total requests","Cyprus","Denmark",2012-01-01,0,"DK"
"Number","Requests","Total requests","Cyprus","Estonia",2012-01-01,0,"EE"
"Number","Requests","Total requests","Cyprus","Greece",2012-01-01,0,"EL"
"Number","Requests","Total requests","Cyprus","Spain",2012-01-01,0,"ES"
"Number","Requests","Total requests","Cyprus","Finland",2012-01-01,0,"FI"
"Number","Requests","Total requests","Cyprus","France",2012-01-01,1,"FR"
"Number","Requests","Total requests","Cyprus","Croatia",2012-01-01,NA,"HR"
"Number","Requests","Total requests","Cyprus","Hungary",2012-01-01,0,"HU"
"Number","Requests","Total requests","Cyprus","Ireland",2012-01-01,0,"IE"
"Number","Requests","Total requests","Cyprus","Iceland",2012-01-01,0,"IS"
"Number","Requests","Total requests","Cyprus","Italy",2012-01-01,0,"IT"
"Number","Requests","Total requests","Cyprus","Liechtenstein",2012-01-01,0,"LI"
"Number","Requests","Total requests","Cyprus","Lithuania",2012-01-01,0,"LT"
"Number","Requests","Total requests","Cyprus","Luxembourg",2012-01-01,0,"LU"
"Number","Requests","Total requests","Cyprus","Latvia",2012-01-01,0,"LV"
"Number","Requests","Total requests","Cyprus","Malta",2012-01-01,0,"MT"
"Number","Requests","Total requests","Cyprus","Netherlands",2012-01-01,NA,"NL"
"Number","Requests","Total requests","Cyprus","Norway",2012-01-01,0,"NO"
"Number","Requests","Total requests","Cyprus","Poland",2012-01-01,0,"PL"
"Number","Requests","Total requests","Cyprus","Portugal",2012-01-01,0,"PT"
"Number","Requests","Total requests","Cyprus","Romania",2012-01-01,0,"RO"
"Number","Requests","Total requests","Cyprus","Sweden",2012-01-01,0,"SE"
"Number","Requests","Total requests","Cyprus","Slovenia",2012-01-01,0,"SI"
"Number","Requests","Total requests","Cyprus","Slovakia",2012-01-01,0,"SK"
"Number","Requests","Total requests","Cyprus","United Kingdom",2012-01-01,3,"UK"
"Number","Requests","Total requests","Czech Republic","Austria",2012-01-01,24,"AT"
"Number","Requests","Total requests","Czech Republic","Belgium",2012-01-01,8,"BE"
"Number","Requests","Total requests","Czech Republic","Bulgaria",2012-01-01,0,"BG"
"Number","Requests","Total requests","Czech Republic","Switzerland",2012-01-01,4,"CH"
"Number","Requests","Total requests","Czech Republic","Cyprus",2012-01-01,4,"CY"
"Number","Requests","Total requests","Czech Republic","Czech Republic",2012-01-01,0,"CZ"
"Number","Requests","Total requests","Czech Republic","Germany (until 1990 former territory of the FRG)",2012-01-01,12,"DE"
"Number","Requests","Total requests","Czech Republic","Denmark",2012-01-01,0,"DK"
"Number","Requests","Total requests","Czech Republic","Estonia",2012-01-01,1,"EE"
"Number","Requests","Total requests","Czech Republic","Greece",2012-01-01,0,"EL"
"Number","Requests","Total requests","Czech Republic","Spain",2012-01-01,4,"ES"
"Number","Requests","Total requests","Czech Republic","Finland",2012-01-01,2,"FI"
"Number","Requests","Total requests","Czech Republic","France",2012-01-01,19,"FR"
"Number","Requests","Total requests","Czech Republic","Croatia",2012-01-01,NA,"HR"
"Number","Requests","Total requests","Czech Republic","Hungary",2012-01-01,9,"HU"
"Number","Requests","Total requests","Czech Republic","Ireland",2012-01-01,0,"IE"
"Number","Requests","Total requests","Czech Republic","Iceland",2012-01-01,0,"IS"
"Number","Requests","Total requests","Czech Republic","Italy",2012-01-01,7,"IT"
"Number","Requests","Total requests","Czech Republic","Liechtenstein",2012-01-01,0,"LI"
"Number","Requests","Total requests","Czech Republic","Lithuania",2012-01-01,7,"LT"
"Number","Requests","Total requests","Czech Republic","Luxembourg",2012-01-01,2,"LU"
"Number","Requests","Total requests","Czech Republic","Latvia",2012-01-01,0,"LV"
"Number","Requests","Total requests","Czech Republic","Malta",2012-01-01,0,"MT"
"Number","Requests","Total requests","Czech Republic","Netherlands",2012-01-01,NA,"NL"
"Number","Requests","Total requests","Czech Republic","Norway",2012-01-01,2,"NO"
"Number","Requests","Total requests","Czech Republic","Poland",2012-01-01,58,"PL"
"Number","Requests","Total requests","Czech Republic","Portugal",2012-01-01,0,"PT"
"Number","Requests","Total requests","Czech Republic","Romania",2012-01-01,12,"RO"
"Number","Requests","Total requests","Czech Republic","Sweden",2012-01-01,5,"SE"
"Number","Requests","Total requests","Czech Republic","Slovenia",2012-01-01,0,"SI"
"Number","Requests","Total requests","Czech Republic","Slovakia",2012-01-01,10,"SK"
"Number","Requests","Total requests","Czech Republic","United Kingdom",2012-01-01,2,"UK"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Austria",2012-01-01,652,"AT"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Belgium",2012-01-01,1327,"BE"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Bulgaria",2012-01-01,63,"BG"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Switzerland",2012-01-01,901,"CH"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Cyprus",2012-01-01,30,"CY"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Czech Republic",2012-01-01,62,"CZ"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Germany (until 1990 former territory of the FRG)",2012-01-01,0,"DE"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Denmark",2012-01-01,102,"DK"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Estonia",2012-01-01,3,"EE"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Greece",2012-01-01,0,"EL"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Spain",2012-01-01,269,"ES"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Finland",2012-01-01,92,"FI"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","France",2012-01-01,660,"FR"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Croatia",2012-01-01,NA,"HR"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Hungary",2012-01-01,310,"HU"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Ireland",2012-01-01,16,"IE"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Iceland",2012-01-01,0,"IS"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Italy",2012-01-01,1945,"IT"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Liechtenstein",2012-01-01,0,"LI"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Lithuania",2012-01-01,126,"LT"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Luxembourg",2012-01-01,112,"LU"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Latvia",2012-01-01,38,"LV"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Malta",2012-01-01,99,"MT"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Netherlands",2012-01-01,NA,"NL"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Norway",2012-01-01,358,"NO"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Poland",2012-01-01,945,"PL"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Portugal",2012-01-01,9,"PT"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Romania",2012-01-01,126,"RO"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Sweden",2012-01-01,1179,"SE"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Slovenia",2012-01-01,19,"SI"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Slovakia",2012-01-01,83,"SK"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","United Kingdom",2012-01-01,98,"UK"
"Number","Requests","Total requests","Denmark","Austria",2012-01-01,61,"AT"
"Number","Requests","Total requests","Denmark","Belgium",2012-01-01,45,"BE"
"Number","Requests","Total requests","Denmark","Bulgaria",2012-01-01,5,"BG"
"Number","Requests","Total requests","Denmark","Switzerland",2012-01-01,44,"CH"
"Number","Requests","Total requests","Denmark","Cyprus",2012-01-01,3,"CY"
"Number","Requests","Total requests","Denmark","Czech Republic",2012-01-01,4,"CZ"
"Number","Requests","Total requests","Denmark","Germany (until 1990 former territory of the FRG)",2012-01-01,277,"DE"
"Number","Requests","Total requests","Denmark","Denmark",2012-01-01,0,"DK"
"Number","Requests","Total requests","Denmark","Estonia",2012-01-01,0,"EE"
"Number","Requests","Total requests","Denmark","Greece",2012-01-01,0,"EL"
"Number","Requests","Total requests","Denmark","Spain",2012-01-01,51,"ES"
"Number","Requests","Total requests","Denmark","Finland",2012-01-01,21,"FI"
"Number","Requests","Total requests","Denmark","France",2012-01-01,28,"FR"
"Number","Requests","Total requests","Denmark","Croatia",2012-01-01,NA,"HR"
"Number","Requests","Total requests","Denmark","Hungary",2012-01-01,27,"HU"
"Number","Requests","Total requests","Denmark","Ireland",2012-01-01,1,"IE"
"Number","Requests","Total requests","Denmark","Iceland",2012-01-01,0,"IS"
"Number","Requests","Total requests","Denmark","Italy",2012-01-01,467,"IT"
"Number","Requests","Total requests","Denmark","Liechtenstein",2012-01-01,0,"LI"
"Number","Requests","Total requests","Denmark","Lithuania",2012-01-01,8,"LT"
"Number","Requests","Total requests","Denmark","Luxembourg",2012-01-01,2,"LU"
"Number","Requests","Total requests","Denmark","Latvia",2012-01-01,10,"LV"
"Number","Requests","Total requests","Denmark","Malta",2012-01-01,33,"MT"
"Number","Requests","Total requests","Denmark","Netherlands",2012-01-01,NA,"NL"
"Number","Requests","Total requests","Denmark","Norway",2012-01-01,131,"NO"
"Number","Requests","Total requests","Denmark","Poland",2012-01-01,82,"PL"
"Number","Requests","Total requests","Denmark","Portugal",2012-01-01,1,"PT"
"Number","Requests","Total requests","Denmark","Romania",2012-01-01,10,"RO"
"Number","Requests","Total requests","Denmark","Sweden",2012-01-01,344,"SE"
"Number","Requests","Total requests","Denmark","Slovenia",2012-01-01,1,"SI"
"Number","Requests","Total requests","Denmark","Slovakia",2012-01-01,2,"SK"
"Number","Requests","Total requests","Denmark","United Kingdom",2012-01-01,13,"UK"
"Number","Requests","Total requests","Estonia","Austria",2012-01-01,0,"AT"
"Number","Requests","Total requests","Estonia","Belgium",2012-01-01,0,"BE"
"Number","Requests","Total requests","Estonia","Bulgaria",2012-01-01,0,"BG"
"Number","Requests","Total requests","Estonia","Switzerland",2012-01-01,0,"CH"
"Number","Requests","Total requests","Estonia","Cyprus",2012-01-01,0,"CY"
"Number","Requests","Total requests","Estonia","Czech Republic",2012-01-01,0,"CZ"
"Number","Requests","Total requests","Estonia","Germany (until 1990 former territory of the FRG)",2012-01-01,0,"DE"
"Number","Requests","Total requests","Estonia","Denmark",2012-01-01,1,"DK"
"Number","Requests","Total requests","Estonia","Estonia",2012-01-01,0,"EE"
"Number","Requests","Total requests","Estonia","Greece",2012-01-01,0,"EL"
"Number","Requests","Total requests","Estonia","Spain",2012-01-01,0,"ES"
"Number","Requests","Total requests","Estonia","Finland",2012-01-01,4,"FI"
"Number","Requests","Total requests","Estonia","France",2012-01-01,0,"FR"
"Number","Requests","Total requests","Estonia","Croatia",2012-01-01,NA,"HR"
"Number","Requests","Total requests","Estonia","Hungary",2012-01-01,0,"HU"
"Number","Requests","Total requests","Estonia","Ireland",2012-01-01,0,"IE"
"Number","Requests","Total requests","Estonia","Iceland",2012-01-01,0,"IS"
"Number","Requests","Total requests","Estonia","Italy",2012-01-01,0,"IT"
"Number","Requests","Total requests","Estonia","Liechtenstein",2012-01-01,0,"LI"
"Number","Requests","Total requests","Estonia","Lithuania",2012-01-01,19,"LT"
"Number","Requests","Total requests","Estonia","Luxembourg",2012-01-01,0,"LU"
"Number","Requests","Total requests","Estonia","Latvia",2012-01-01,6,"LV"
"Number","Requests","Total requests","Estonia","Malta",2012-01-01,0,"MT"
"Number","Requests","Total requests","Estonia","Netherlands",2012-01-01,NA,"NL"
"Number","Requests","Total requests","Estonia","Norway",2012-01-01,3,"NO"
"Number","Requests","Total requests","Estonia","Poland",2012-01-01,0,"PL"
"Number","Requests","Total requests","Estonia","Portugal",2012-01-01,0,"PT"
"Number","Requests","Total requests","Estonia","Romania",2012-01-01,0,"RO"
"Number","Requests","Total requests","Estonia","Sweden",2012-01-01,4,"SE"
"Number","Requests","Total requests","Estonia","Slovenia",2012-01-01,0,"SI"
"Number","Requests","Total requests","Estonia","Slovakia",2012-01-01,0,"SK"
"Number","Requests","Total requests","Estonia","United Kingdom",2012-01-01,0,"UK"
"Number","Requests","Total requests","Greece","Austria",2012-01-01,41,"AT"
"Number","Requests","Total requests","Greece","Belgium",2012-01-01,37,"BE"
"Number","Requests","Total requests","Greece","Bulgaria",2012-01-01,9,"BG"
"Number","Requests","Total requests","Greece","Switzerland",2012-01-01,15,"CH"
"Number","Requests","Total requests","Greece","Cyprus",2012-01-01,2,"CY"
"Number","Requests","Total requests","Greece","Czech Republic",2012-01-01,0,"CZ"
"Number","Requests","Total requests","Greece","Germany (until 1990 former territory of the FRG)",2012-01-01,369,"DE"
"Number","Requests","Total requests","Greece","Denmark",2012-01-01,10,"DK"
"Number","Requests","Total requests","Greece","Estonia",2012-01-01,0,"EE"
"Number","Requests","Total requests","Greece","Greece",2012-01-01,0,"EL"
"Number","Requests","Total requests","Greece","Spain",2012-01-01,3,"ES"
"Number","Requests","Total requests","Greece","Finland",2012-01-01,5,"FI"
"Number","Requests","Total requests","Greece","France",2012-01-01,7,"FR"
"Number","Requests","Total requests","Greece","Croatia",2012-01-01,NA,"HR"
"Number","Requests","Total requests","Greece","Hungary",2012-01-01,2,"HU"
"Number","Requests","Total requests","Greece","Ireland",2012-01-01,0,"IE"
"Number","Requests","Total requests","Greece","Iceland",2012-01-01,0,"IS"
"Number","Requests","Total requests","Greece","Italy",2012-01-01,8,"IT"
"Number","Requests","Total requests","Greece","Liechtenstein",2012-01-01,0,"LI"
"Number","Requests","Total requests","Greece","Lithuania",2012-01-01,0,"LT"
"Number","Requests","Total requests","Greece","Luxembourg",2012-01-01,2,"LU"
"Number","Requests","Total requests","Greece","Latvia",2012-01-01,0,"LV"
"Number","Requests","Total requests","Greece","Malta",2012-01-01,0,"MT"
"Number","Requests","Total requests","Greece","Netherlands",2012-01-01,NA,"NL"
"Number","Requests","Total requests","Greece","Norway",2012-01-01,16,"NO"
"Number","Requests","Total requests","Greece","Poland",2012-01-01,3,"PL"
"Number","Requests","Total requests","Greece","Portugal",2012-01-01,0,"PT"
"Number","Requests","Total requests","Greece","Romania",2012-01-01,1,"RO"
"Number","Requests","Total requests","Greece","Sweden",2012-01-01,112,"SE"
"Number","Requests","Total requests","Greece","Slovenia",2012-01-01,0,"SI"
"Number","Requests","Total requests","Greece","Slovakia",2012-01-01,1,"SK"
"Number","Requests","Total requests","Greece","United Kingdom",2012-01-01,11,"UK"
"Number","Requests","Total requests","Spain","Austria",2012-01-01,3,"AT"
"Number","Requests","Total requests","Spain","Belgium",2012-01-01,7,"BE"
"Number","Requests","Total requests","Spain","Bulgaria",2012-01-01,0,"BG"
"Number","Requests","Total requests","Spain","Switzerland",2012-01-01,11,"CH"
"Number","Requests","Total requests","Spain","Cyprus",2012-01-01,0,"CY"
"Number","Requests","Total requests","Spain","Czech Republic",2012-01-01,1,"CZ"
"Number","Requests","Total requests","Spain","Germany (until 1990 former territory of the FRG)",2012-01-01,8,"DE"
"Number","Requests","Total requests","Spain","Denmark",2012-01-01,1,"DK"
"Number","Requests","Total requests","Spain","Estonia",2012-01-01,0,"EE"
"Number","Requests","Total requests","Spain","Greece",2012-01-01,2,"EL"
"Number","Requests","Total requests","Spain","Spain",2012-01-01,0,"ES"
"Number","Requests","Total requests","Spain","Finland",2012-01-01,1,"FI"
"Number","Requests","Total requests","Spain","France",2012-01-01,18,"FR"
"Number","Requests","Total requests","Spain","Croatia",2012-01-01,NA,"HR"
"Number","Requests","Total requests","Spain","Hungary",2012-01-01,1,"HU"
"Number","Requests","Total requests","Spain","Ireland",2012-01-01,0,"IE"
"Number","Requests","Total requests","Spain","Iceland",2012-01-01,0,"IS"
"Number","Requests","Total requests","Spain","Italy",2012-01-01,9,"IT"
"Number","Requests","Total requests","Spain","Liechtenstein",2012-01-01,0,"LI"
"Number","Requests","Total requests","Spain","Lithuania",2012-01-01,2,"LT"
"Number","Requests","Total requests","Spain","Luxembourg",2012-01-01,0,"LU"
"Number","Requests","Total requests","Spain","Latvia",2012-01-01,0,"LV"
"Number","Requests","Total requests","Spain","Malta",2012-01-01,1,"MT"
"Number","Requests","Total requests","Spain","Netherlands",2012-01-01,NA,"NL"
"Number","Requests","Total requests","Spain","Norway",2012-01-01,4,"NO"
"Number","Requests","Total requests","Spain","Poland",2012-01-01,2,"PL"
"Number","Requests","Total requests","Spain","Portugal",2012-01-01,2,"PT"
"Number","Requests","Total requests","Spain","Romania",2012-01-01,1,"RO"
"Number","Requests","Total requests","Spain","Sweden",2012-01-01,7,"SE"
"Number","Requests","Total requests","Spain","Slovenia",2012-01-01,0,"SI"
"Number","Requests","Total requests","Spain","Slovakia",2012-01-01,0,"SK"
"Number","Requests","Total requests","Spain","United Kingdom",2012-01-01,5,"UK"
"Number","Requests","Total requests","Finland","Austria",2012-01-01,9,"AT"
"Number","Requests","Total requests","Finland","Belgium",2012-01-01,39,"BE"
"Number","Requests","Total requests","Finland","Bulgaria",2012-01-01,21,"BG"
"Number","Requests","Total requests","Finland","Switzerland",2012-01-01,33,"CH"
"Number","Requests","Total requests","Finland","Cyprus",2012-01-01,19,"CY"
"Number","Requests","Total requests","Finland","Czech Republic",2012-01-01,7,"CZ"
"Number","Requests","Total requests","Finland","Germany (until 1990 former territory of the FRG)",2012-01-01,74,"DE"
"Number","Requests","Total requests","Finland","Denmark",2012-01-01,18,"DK"
"Number","Requests","Total requests","Finland","Estonia",2012-01-01,12,"EE"
"Number","Requests","Total requests","Finland","Greece",2012-01-01,0,"EL"
"Number","Requests","Total requests","Finland","Spain",2012-01-01,35,"ES"
"Number","Requests","Total requests","Finland","Finland",2012-01-01,0,"FI"
"Number","Requests","Total requests","Finland","France",2012-01-01,24,"FR"
"Number","Requests","Total requests","Finland","Croatia",2012-01-01,NA,"HR"
"Number","Requests","Total requests","Finland","Hungary",2012-01-01,11,"HU"
"Number","Requests","Total requests","Finland","Ireland",2012-01-01,4,"IE"
"Number","Requests","Total requests","Finland","Iceland",2012-01-01,0,"IS"
"Number","Requests","Total requests","Finland","Italy",2012-01-01,111,"IT"
"Number","Requests","Total requests","Finland","Liechtenstein",2012-01-01,0,"LI"
"Number","Requests","Total requests","Finland","Lithuania",2012-01-01,10,"LT"
"Number","Requests","Total requests","Finland","Luxembourg",2012-01-01,2,"LU"
"Number","Requests","Total requests","Finland","Latvia",2012-01-01,3,"LV"
"Number","Requests","Total requests","Finland","Malta",2012-01-01,17,"MT"
"Number","Requests","Total requests","Finland","Netherlands",2012-01-01,NA,"NL"
"Number","Requests","Total requests","Finland","Norway",2012-01-01,91,"NO"
"Number","Requests","Total requests","Finland","Poland",2012-01-01,20,"PL"
"Number","Requests","Total requests","Finland","Portugal",2012-01-01,3,"PT"
"Number","Requests","Total requests","Finland","Romania",2012-01-01,12,"RO"
"Number","Requests","Total requests","Finland","Sweden",2012-01-01,214,"SE"
"Number","Requests","Total requests","Finland","Slovenia",2012-01-01,0,"SI"
"Number","Requests","Total requests","Finland","Slovakia",2012-01-01,13,"SK"
"Number","Requests","Total requests","Finland","United Kingdom",2012-01-01,13,"UK"
"Number","Requests","Total requests","France","Austria",2012-01-01,346,"AT"
"Number","Requests","Total requests","France","Belgium",2012-01-01,752,"BE"
"Number","Requests","Total requests","France","Bulgaria",2012-01-01,18,"BG"
"Number","Requests","Total requests","France","Switzerland",2012-01-01,398,"CH"
"Number","Requests","Total requests","France","Cyprus",2012-01-01,19,"CY"
"Number","Requests","Total requests","France","Czech Republic",2012-01-01,43,"CZ"
"Number","Requests","Total requests","France","Germany (until 1990 former territory of the FRG)",2012-01-01,503,"DE"
"Number","Requests","Total requests","France","Denmark",2012-01-01,45,"DK"
"Number","Requests","Total requests","France","Estonia",2012-01-01,2,"EE"
"Number","Requests","Total requests","France","Greece",2012-01-01,2,"EL"
"Number","Requests","Total requests","France","Spain",2012-01-01,523,"ES"
"Number","Requests","Total requests","France","Finland",2012-01-01,44,"FI"
"Number","Requests","Total requests","France","France",2012-01-01,0,"FR"
"Number","Requests","Total requests","France","Croatia",2012-01-01,NA,"HR"
"Number","Requests","Total requests","France","Hungary",2012-01-01,159,"HU"
"Number","Requests","Total requests","France","Ireland",2012-01-01,17,"IE"
"Number","Requests","Total requests","France","Iceland",2012-01-01,0,"IS"
"Number","Requests","Total requests","France","Italy",2012-01-01,689,"IT"
"Number","Requests","Total requests","France","Liechtenstein",2012-01-01,0,"LI"
"Number","Requests","Total requests","France","Lithuania",2012-01-01,63,"LT"
"Number","Requests","Total requests","France","Luxembourg",2012-01-01,35,"LU"
"Number","Requests","Total requests","France","Latvia",2012-01-01,39,"LV"
"Number","Requests","Total requests","France","Malta",2012-01-01,28,"MT"
"Number","Requests","Total requests","France","Netherlands",2012-01-01,NA,"NL"
"Number","Requests","Total requests","France","Norway",2012-01-01,153,"NO"
"Number","Requests","Total requests","France","Poland",2012-01-01,1523,"PL"
"Number","Requests","Total requests","France","Portugal",2012-01-01,73,"PT"
"Number","Requests","Total requests","France","Romania",2012-01-01,50,"RO"
"Number","Requests","Total requests","France","Sweden",2012-01-01,344,"SE"
"Number","Requests","Total requests","France","Slovenia",2012-01-01,19,"SI"
"Number","Requests","Total requests","France","Slovakia",2012-01-01,42,"SK"
"Number","Requests","Total requests","France","United Kingdom",2012-01-01,229,"UK"
"Number","Requests","Total requests","Croatia","Austria",2012-01-01,0,"AT"
"Number","Requests","Total requests","Croatia","Belgium",2012-01-01,NA,"BE"
"Number","Requests","Total requests","Croatia","Bulgaria",2012-01-01,NA,"BG"
"Number","Requests","Total requests","Croatia","Switzerland",2012-01-01,0,"CH"
"Number","Requests","Total requests","Croatia","Cyprus",2012-01-01,NA,"CY"
"Number","Requests","Total requests","Croatia","Germany (until 1990 former territory of the FRG)",2012-01-01,0,"DE"
"Number","Requests","Total requests","Croatia","Denmark",2012-01-01,NA,"DK"
"Number","Requests","Total requests","Croatia","Estonia",2012-01-01,NA,"EE"
"Number","Requests","Total requests","Croatia","Greece",2012-01-01,NA,"EL"
"Number","Requests","Total requests","Croatia","Spain",2012-01-01,NA,"ES"
"Number","Requests","Total requests","Croatia","Finland",2012-01-01,NA,"FI"
"Number","Requests","Total requests","Croatia","France",2012-01-01,0,"FR"
"Number","Requests","Total requests","Croatia","Croatia",2012-01-01,NA,"HR"
"Number","Requests","Total requests","Croatia","Hungary",2012-01-01,0,"HU"
"Number","Requests","Total requests","Croatia","Ireland",2012-01-01,NA,"IE"
"Number","Requests","Total requests","Croatia","Italy",2012-01-01,NA,"IT"
"Number","Requests","Total requests","Croatia","Liechtenstein",2012-01-01,0,"LI"
"Number","Requests","Total requests","Croatia","Lithuania",2012-01-01,0,"LT"
"Number","Requests","Total requests","Croatia","Luxembourg",2012-01-01,NA,"LU"
"Number","Requests","Total requests","Croatia","Latvia",2012-01-01,NA,"LV"
"Number","Requests","Total requests","Croatia","Malta",2012-01-01,NA,"MT"
"Number","Requests","Total requests","Croatia","Norway",2012-01-01,NA,"NO"
"Number","Requests","Total requests","Croatia","Portugal",2012-01-01,NA,"PT"
"Number","Requests","Total requests","Croatia","Romania",2012-01-01,NA,"RO"
"Number","Requests","Total requests","Croatia","Sweden",2012-01-01,NA,"SE"
"Number","Requests","Total requests","Croatia","Slovenia",2012-01-01,NA,"SI"
"Number","Requests","Total requests","Croatia","Slovakia",2012-01-01,0,"SK"
"Number","Requests","Total requests","Croatia","United Kingdom",2012-01-01,NA,"UK"
"Number","Requests","Total requests","Hungary","Austria",2012-01-01,32,"AT"
"Number","Requests","Total requests","Hungary","Belgium",2012-01-01,2,"BE"
"Number","Requests","Total requests","Hungary","Bulgaria",2012-01-01,7,"BG"
"Number","Requests","Total requests","Hungary","Switzerland",2012-01-01,8,"CH"
"Number","Requests","Total requests","Hungary","Cyprus",2012-01-01,0,"CY"
"Number","Requests","Total requests","Hungary","Czech Republic",2012-01-01,2,"CZ"
"Number","Requests","Total requests","Hungary","Germany (until 1990 former territory of the FRG)",2012-01-01,22,"DE"
"Number","Requests","Total requests","Hungary","Denmark",2012-01-01,0,"DK"
"Number","Requests","Total requests","Hungary","Estonia",2012-01-01,0,"EE"
"Number","Requests","Total requests","Hungary","Greece",2012-01-01,3,"EL"
"Number","Requests","Total requests","Hungary","Spain",2012-01-01,1,"ES"
"Number","Requests","Total requests","Hungary","Finland",2012-01-01,5,"FI"
"Number","Requests","Total requests","Hungary","France",2012-01-01,10,"FR"
"Number","Requests","Total requests","Hungary","Croatia",2012-01-01,NA,"HR"
"Number","Requests","Total requests","Hungary","Hungary",2012-01-01,0,"HU"
"Number","Requests","Total requests","Hungary","Ireland",2012-01-01,0,"IE"
"Number","Requests","Total requests","Hungary","Iceland",2012-01-01,0,"IS"
"Number","Requests","Total requests","Hungary","Italy",2012-01-01,2,"IT"
"Number","Requests","Total requests","Hungary","Liechtenstein",2012-01-01,0,"LI"
"Number","Requests","Total requests","Hungary","Lithuania",2012-01-01,0,"LT"
"Number","Requests","Total requests","Hungary","Luxembourg",2012-01-01,0,"LU"
"Number","Requests","Total requests","Hungary","Latvia",2012-01-01,0,"LV"
"Number","Requests","Total requests","Hungary","Malta",2012-01-01,0,"MT"
"Number","Requests","Total requests","Hungary","Netherlands",2012-01-01,NA,"NL"
"Number","Requests","Total requests","Hungary","Norway",2012-01-01,6,"NO"
"Number","Requests","Total requests","Hungary","Poland",2012-01-01,2,"PL"
"Number","Requests","Total requests","Hungary","Portugal",2012-01-01,0,"PT"
"Number","Requests","Total requests","Hungary","Romania",2012-01-01,61,"RO"
"Number","Requests","Total requests","Hungary","Sweden",2012-01-01,19,"SE"
"Number","Requests","Total requests","Hungary","Slovenia",2012-01-01,0,"SI"
"Number","Requests","Total requests","Hungary","Slovakia",2012-01-01,4,"SK"
