"unit","request","leg_prov","partner","geo","time","values","iso2"
"Number","Requests","Total requests","Bulgaria","Greece",2014-01-01,0,"EL"
"Number","Requests","Total requests","Bulgaria","Spain",2014-01-01,NA,"ES"
"Number","Requests","Total requests","Bulgaria","Finland",2014-01-01,2,"FI"
"Number","Requests","Total requests","Bulgaria","France",2014-01-01,3,"FR"
"Number","Requests","Total requests","Bulgaria","Croatia",2014-01-01,0,"HR"
"Number","Requests","Total requests","Bulgaria","Hungary",2014-01-01,0,"HU"
"Number","Requests","Total requests","Bulgaria","Ireland",2014-01-01,0,"IE"
"Number","Requests","Total requests","Bulgaria","Iceland",2014-01-01,NA,"IS"
"Number","Requests","Total requests","Bulgaria","Italy",2014-01-01,NA,"IT"
"Number","Requests","Total requests","Bulgaria","Liechtenstein",2014-01-01,0,"LI"
"Number","Requests","Total requests","Bulgaria","Lithuania",2014-01-01,NA,"LT"
"Number","Requests","Total requests","Bulgaria","Luxembourg",2014-01-01,0,"LU"
"Number","Requests","Total requests","Bulgaria","Latvia",2014-01-01,0,"LV"
"Number","Requests","Total requests","Bulgaria","Malta",2014-01-01,0,"MT"
"Number","Requests","Total requests","Bulgaria","Netherlands",2014-01-01,NA,"NL"
"Number","Requests","Total requests","Bulgaria","Norway",2014-01-01,7,"NO"
"Number","Requests","Total requests","Bulgaria","Poland",2014-01-01,NA,"PL"
"Number","Requests","Total requests","Bulgaria","Portugal",2014-01-01,0,"PT"
"Number","Requests","Total requests","Bulgaria","Romania",2014-01-01,4,"RO"
"Number","Requests","Total requests","Bulgaria","Sweden",2014-01-01,0,"SE"
"Number","Requests","Total requests","Bulgaria","Slovenia",2014-01-01,0,"SI"
"Number","Requests","Total requests","Bulgaria","Slovakia",2014-01-01,0,"SK"
"Number","Requests","Total requests","Bulgaria","United Kingdom",2014-01-01,23,"UK"
"Number","Requests","Total requests","Switzerland","Austria",2014-01-01,175,"AT"
"Number","Requests","Total requests","Switzerland","Belgium",2014-01-01,140,"BE"
"Number","Requests","Total requests","Switzerland","Bulgaria",2014-01-01,116,"BG"
"Number","Requests","Total requests","Switzerland","Switzerland",2014-01-01,0,"CH"
"Number","Requests","Total requests","Switzerland","Cyprus",2014-01-01,NA,"CY"
"Number","Requests","Total requests","Switzerland","Czech Republic",2014-01-01,NA,"CZ"
"Number","Requests","Total requests","Switzerland","Germany (until 1990 former territory of the FRG)",2014-01-01,548,"DE"
"Number","Requests","Total requests","Switzerland","Denmark",2014-01-01,41,"DK"
"Number","Requests","Total requests","Switzerland","Estonia",2014-01-01,4,"EE"
"Number","Requests","Total requests","Switzerland","Greece",2014-01-01,26,"EL"
"Number","Requests","Total requests","Switzerland","Spain",2014-01-01,NA,"ES"
"Number","Requests","Total requests","Switzerland","Finland",2014-01-01,12,"FI"
"Number","Requests","Total requests","Switzerland","France",2014-01-01,600,"FR"
"Number","Requests","Total requests","Switzerland","Croatia",2014-01-01,41,"HR"
"Number","Requests","Total requests","Switzerland","Hungary",2014-01-01,216,"HU"
"Number","Requests","Total requests","Switzerland","Ireland",2014-01-01,4,"IE"
"Number","Requests","Total requests","Switzerland","Iceland",2014-01-01,NA,"IS"
"Number","Requests","Total requests","Switzerland","Italy",2014-01-01,NA,"IT"
"Number","Requests","Total requests","Switzerland","Liechtenstein",2014-01-01,1,"LI"
"Number","Requests","Total requests","Switzerland","Lithuania",2014-01-01,NA,"LT"
"Number","Requests","Total requests","Switzerland","Luxembourg",2014-01-01,17,"LU"
"Number","Requests","Total requests","Switzerland","Latvia",2014-01-01,14,"LV"
"Number","Requests","Total requests","Switzerland","Malta",2014-01-01,43,"MT"
"Number","Requests","Total requests","Switzerland","Netherlands",2014-01-01,NA,"NL"
"Number","Requests","Total requests","Switzerland","Norway",2014-01-01,70,"NO"
"Number","Requests","Total requests","Switzerland","Poland",2014-01-01,NA,"PL"
"Number","Requests","Total requests","Switzerland","Portugal",2014-01-01,49,"PT"
"Number","Requests","Total requests","Switzerland","Romania",2014-01-01,22,"RO"
"Number","Requests","Total requests","Switzerland","Sweden",2014-01-01,75,"SE"
"Number","Requests","Total requests","Switzerland","Slovenia",2014-01-01,10,"SI"
"Number","Requests","Total requests","Switzerland","Slovakia",2014-01-01,8,"SK"
"Number","Requests","Total requests","Switzerland","United Kingdom",2014-01-01,17,"UK"
"Number","Requests","Total requests","Cyprus","Austria",2014-01-01,1,"AT"
"Number","Requests","Total requests","Cyprus","Belgium",2014-01-01,2,"BE"
"Number","Requests","Total requests","Cyprus","Bulgaria",2014-01-01,0,"BG"
"Number","Requests","Total requests","Cyprus","Switzerland",2014-01-01,0,"CH"
"Number","Requests","Total requests","Cyprus","Cyprus",2014-01-01,NA,"CY"
"Number","Requests","Total requests","Cyprus","Czech Republic",2014-01-01,NA,"CZ"
"Number","Requests","Total requests","Cyprus","Germany (until 1990 former territory of the FRG)",2014-01-01,24,"DE"
"Number","Requests","Total requests","Cyprus","Denmark",2014-01-01,2,"DK"
"Number","Requests","Total requests","Cyprus","Estonia",2014-01-01,0,"EE"
"Number","Requests","Total requests","Cyprus","Greece",2014-01-01,0,"EL"
"Number","Requests","Total requests","Cyprus","Spain",2014-01-01,NA,"ES"
"Number","Requests","Total requests","Cyprus","Finland",2014-01-01,0,"FI"
"Number","Requests","Total requests","Cyprus","France",2014-01-01,3,"FR"
"Number","Requests","Total requests","Cyprus","Croatia",2014-01-01,0,"HR"
"Number","Requests","Total requests","Cyprus","Hungary",2014-01-01,0,"HU"
"Number","Requests","Total requests","Cyprus","Ireland",2014-01-01,0,"IE"
"Number","Requests","Total requests","Cyprus","Iceland",2014-01-01,NA,"IS"
"Number","Requests","Total requests","Cyprus","Italy",2014-01-01,NA,"IT"
"Number","Requests","Total requests","Cyprus","Liechtenstein",2014-01-01,0,"LI"
"Number","Requests","Total requests","Cyprus","Lithuania",2014-01-01,NA,"LT"
"Number","Requests","Total requests","Cyprus","Luxembourg",2014-01-01,0,"LU"
"Number","Requests","Total requests","Cyprus","Latvia",2014-01-01,0,"LV"
"Number","Requests","Total requests","Cyprus","Malta",2014-01-01,0,"MT"
"Number","Requests","Total requests","Cyprus","Netherlands",2014-01-01,NA,"NL"
"Number","Requests","Total requests","Cyprus","Norway",2014-01-01,4,"NO"
"Number","Requests","Total requests","Cyprus","Poland",2014-01-01,NA,"PL"
"Number","Requests","Total requests","Cyprus","Portugal",2014-01-01,1,"PT"
"Number","Requests","Total requests","Cyprus","Romania",2014-01-01,0,"RO"
"Number","Requests","Total requests","Cyprus","Sweden",2014-01-01,8,"SE"
"Number","Requests","Total requests","Cyprus","Slovenia",2014-01-01,0,"SI"
"Number","Requests","Total requests","Cyprus","Slovakia",2014-01-01,0,"SK"
"Number","Requests","Total requests","Cyprus","United Kingdom",2014-01-01,5,"UK"
"Number","Requests","Total requests","Czech Republic","Austria",2014-01-01,25,"AT"
"Number","Requests","Total requests","Czech Republic","Belgium",2014-01-01,6,"BE"
"Number","Requests","Total requests","Czech Republic","Bulgaria",2014-01-01,8,"BG"
"Number","Requests","Total requests","Czech Republic","Switzerland",2014-01-01,8,"CH"
"Number","Requests","Total requests","Czech Republic","Cyprus",2014-01-01,NA,"CY"
"Number","Requests","Total requests","Czech Republic","Czech Republic",2014-01-01,NA,"CZ"
"Number","Requests","Total requests","Czech Republic","Germany (until 1990 former territory of the FRG)",2014-01-01,12,"DE"
"Number","Requests","Total requests","Czech Republic","Denmark",2014-01-01,2,"DK"
"Number","Requests","Total requests","Czech Republic","Estonia",2014-01-01,1,"EE"
"Number","Requests","Total requests","Czech Republic","Greece",2014-01-01,1,"EL"
"Number","Requests","Total requests","Czech Republic","Spain",2014-01-01,NA,"ES"
"Number","Requests","Total requests","Czech Republic","Finland",2014-01-01,3,"FI"
"Number","Requests","Total requests","Czech Republic","France",2014-01-01,5,"FR"
"Number","Requests","Total requests","Czech Republic","Croatia",2014-01-01,0,"HR"
"Number","Requests","Total requests","Czech Republic","Hungary",2014-01-01,162,"HU"
"Number","Requests","Total requests","Czech Republic","Ireland",2014-01-01,0,"IE"
"Number","Requests","Total requests","Czech Republic","Iceland",2014-01-01,NA,"IS"
"Number","Requests","Total requests","Czech Republic","Italy",2014-01-01,NA,"IT"
"Number","Requests","Total requests","Czech Republic","Liechtenstein",2014-01-01,0,"LI"
"Number","Requests","Total requests","Czech Republic","Lithuania",2014-01-01,NA,"LT"
"Number","Requests","Total requests","Czech Republic","Luxembourg",2014-01-01,0,"LU"
"Number","Requests","Total requests","Czech Republic","Latvia",2014-01-01,3,"LV"
"Number","Requests","Total requests","Czech Republic","Malta",2014-01-01,12,"MT"
"Number","Requests","Total requests","Czech Republic","Netherlands",2014-01-01,NA,"NL"
"Number","Requests","Total requests","Czech Republic","Norway",2014-01-01,5,"NO"
"Number","Requests","Total requests","Czech Republic","Poland",2014-01-01,NA,"PL"
"Number","Requests","Total requests","Czech Republic","Portugal",2014-01-01,0,"PT"
"Number","Requests","Total requests","Czech Republic","Romania",2014-01-01,1,"RO"
"Number","Requests","Total requests","Czech Republic","Sweden",2014-01-01,0,"SE"
"Number","Requests","Total requests","Czech Republic","Slovenia",2014-01-01,1,"SI"
"Number","Requests","Total requests","Czech Republic","Slovakia",2014-01-01,6,"SK"
"Number","Requests","Total requests","Czech Republic","United Kingdom",2014-01-01,2,"UK"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Austria",2014-01-01,1035,"AT"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Belgium",2014-01-01,2179,"BE"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Bulgaria",2014-01-01,3164,"BG"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Switzerland",2014-01-01,1891,"CH"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Cyprus",2014-01-01,NA,"CY"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Czech Republic",2014-01-01,NA,"CZ"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Germany (until 1990 former territory of the FRG)",2014-01-01,0,"DE"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Denmark",2014-01-01,543,"DK"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Estonia",2014-01-01,8,"EE"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Greece",2014-01-01,2,"EL"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Spain",2014-01-01,NA,"ES"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Finland",2014-01-01,118,"FI"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","France",2014-01-01,2584,"FR"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Croatia",2014-01-01,57,"HR"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Hungary",2014-01-01,3888,"HU"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Ireland",2014-01-01,3,"IE"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Iceland",2014-01-01,NA,"IS"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Italy",2014-01-01,NA,"IT"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Liechtenstein",2014-01-01,3,"LI"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Lithuania",2014-01-01,NA,"LT"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Luxembourg",2014-01-01,97,"LU"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Latvia",2014-01-01,107,"LV"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Malta",2014-01-01,256,"MT"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Netherlands",2014-01-01,NA,"NL"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Norway",2014-01-01,590,"NO"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Poland",2014-01-01,NA,"PL"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Portugal",2014-01-01,83,"PT"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Romania",2014-01-01,187,"RO"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Sweden",2014-01-01,1113,"SE"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Slovenia",2014-01-01,81,"SI"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","Slovakia",2014-01-01,167,"SK"
"Number","Requests","Total requests","Germany (until 1990 former territory of the FRG)","United Kingdom",2014-01-01,93,"UK"
"Number","Requests","Total requests","Denmark","Austria",2014-01-01,81,"AT"
"Number","Requests","Total requests","Denmark","Belgium",2014-01-01,48,"BE"
"Number","Requests","Total requests","Denmark","Bulgaria",2014-01-01,159,"BG"
"Number","Requests","Total requests","Denmark","Switzerland",2014-01-01,129,"CH"
"Number","Requests","Total requests","Denmark","Cyprus",2014-01-01,NA,"CY"
"Number","Requests","Total requests","Denmark","Czech Republic",2014-01-01,NA,"CZ"
"Number","Requests","Total requests","Denmark","Germany (until 1990 former territory of the FRG)",2014-01-01,697,"DE"
"Number","Requests","Total requests","Denmark","Denmark",2014-01-01,0,"DK"
"Number","Requests","Total requests","Denmark","Estonia",2014-01-01,5,"EE"
"Number","Requests","Total requests","Denmark","Greece",2014-01-01,0,"EL"
"Number","Requests","Total requests","Denmark","Spain",2014-01-01,NA,"ES"
"Number","Requests","Total requests","Denmark","Finland",2014-01-01,17,"FI"
"Number","Requests","Total requests","Denmark","France",2014-01-01,94,"FR"
"Number","Requests","Total requests","Denmark","Croatia",2014-01-01,6,"HR"
"Number","Requests","Total requests","Denmark","Hungary",2014-01-01,42,"HU"
"Number","Requests","Total requests","Denmark","Ireland",2014-01-01,2,"IE"
"Number","Requests","Total requests","Denmark","Iceland",2014-01-01,NA,"IS"
"Number","Requests","Total requests","Denmark","Italy",2014-01-01,NA,"IT"
"Number","Requests","Total requests","Denmark","Liechtenstein",2014-01-01,0,"LI"
"Number","Requests","Total requests","Denmark","Lithuania",2014-01-01,NA,"LT"
"Number","Requests","Total requests","Denmark","Luxembourg",2014-01-01,10,"LU"
"Number","Requests","Total requests","Denmark","Latvia",2014-01-01,6,"LV"
"Number","Requests","Total requests","Denmark","Malta",2014-01-01,29,"MT"
"Number","Requests","Total requests","Denmark","Netherlands",2014-01-01,NA,"NL"
"Number","Requests","Total requests","Denmark","Norway",2014-01-01,118,"NO"
"Number","Requests","Total requests","Denmark","Poland",2014-01-01,NA,"PL"
"Number","Requests","Total requests","Denmark","Portugal",2014-01-01,4,"PT"
"Number","Requests","Total requests","Denmark","Romania",2014-01-01,9,"RO"
"Number","Requests","Total requests","Denmark","Sweden",2014-01-01,280,"SE"
"Number","Requests","Total requests","Denmark","Slovenia",2014-01-01,7,"SI"
"Number","Requests","Total requests","Denmark","Slovakia",2014-01-01,6,"SK"
"Number","Requests","Total requests","Denmark","United Kingdom",2014-01-01,8,"UK"
"Number","Requests","Total requests","Estonia","Austria",2014-01-01,0,"AT"
"Number","Requests","Total requests","Estonia","Belgium",2014-01-01,0,"BE"
"Number","Requests","Total requests","Estonia","Bulgaria",2014-01-01,0,"BG"
"Number","Requests","Total requests","Estonia","Switzerland",2014-01-01,0,"CH"
"Number","Requests","Total requests","Estonia","Cyprus",2014-01-01,NA,"CY"
"Number","Requests","Total requests","Estonia","Czech Republic",2014-01-01,NA,"CZ"
"Number","Requests","Total requests","Estonia","Germany (until 1990 former territory of the FRG)",2014-01-01,0,"DE"
"Number","Requests","Total requests","Estonia","Denmark",2014-01-01,0,"DK"
"Number","Requests","Total requests","Estonia","Estonia",2014-01-01,0,"EE"
"Number","Requests","Total requests","Estonia","Greece",2014-01-01,0,"EL"
"Number","Requests","Total requests","Estonia","Spain",2014-01-01,NA,"ES"
"Number","Requests","Total requests","Estonia","Finland",2014-01-01,2,"FI"
"Number","Requests","Total requests","Estonia","France",2014-01-01,1,"FR"
"Number","Requests","Total requests","Estonia","Croatia",2014-01-01,0,"HR"
"Number","Requests","Total requests","Estonia","Hungary",2014-01-01,0,"HU"
"Number","Requests","Total requests","Estonia","Ireland",2014-01-01,0,"IE"
"Number","Requests","Total requests","Estonia","Iceland",2014-01-01,NA,"IS"
"Number","Requests","Total requests","Estonia","Italy",2014-01-01,NA,"IT"
"Number","Requests","Total requests","Estonia","Liechtenstein",2014-01-01,0,"LI"
"Number","Requests","Total requests","Estonia","Lithuania",2014-01-01,NA,"LT"
"Number","Requests","Total requests","Estonia","Luxembourg",2014-01-01,0,"LU"
"Number","Requests","Total requests","Estonia","Latvia",2014-01-01,3,"LV"
"Number","Requests","Total requests","Estonia","Malta",2014-01-01,0,"MT"
"Number","Requests","Total requests","Estonia","Netherlands",2014-01-01,NA,"NL"
"Number","Requests","Total requests","Estonia","Norway",2014-01-01,0,"NO"
"Number","Requests","Total requests","Estonia","Poland",2014-01-01,NA,"PL"
"Number","Requests","Total requests","Estonia","Portugal",2014-01-01,0,"PT"
"Number","Requests","Total requests","Estonia","Romania",2014-01-01,0,"RO"
"Number","Requests","Total requests","Estonia","Sweden",2014-01-01,1,"SE"
"Number","Requests","Total requests","Estonia","Slovenia",2014-01-01,0,"SI"
"Number","Requests","Total requests","Estonia","Slovakia",2014-01-01,0,"SK"
"Number","Requests","Total requests","Estonia","United Kingdom",2014-01-01,0,"UK"
