"partner","geo","values","iso2","type"
"Switzerland","Malta",23,"MT","incoming"
"Switzerland","Netherlands",NA,"NL","incoming"
"Switzerland","Norway",NA,"NO","incoming"
"Switzerland","Poland",NA,"PL","incoming"
"Switzerland","Portugal",NA,"PT","incoming"
"Switzerland","Romania",3,"RO","incoming"
"Switzerland","Sweden",0,"SE","incoming"
"Switzerland","Slovenia",3,"SI","incoming"
"Switzerland","Slovakia",3,"SK","incoming"
"Switzerland","United Kingdom",4,"UK","incoming"
"Cyprus","Austria",NA,"AT","incoming"
"Cyprus","Belgium",0,"BE","incoming"
"Cyprus","Bulgaria",0,"BG","incoming"
"Cyprus","Switzerland",0,"CH","incoming"
"Cyprus","Cyprus",NA,"CY","incoming"
"Cyprus","Czech Republic",NA,"CZ","incoming"
"Cyprus","Germany (until 1990 former territory of the FRG)",16,"DE","incoming"
"Cyprus","Denmark",0,"DK","incoming"
"Cyprus","Estonia",0,"EE","incoming"
"Cyprus","Greece",0,"EL","incoming"
"Cyprus","Spain",NA,"ES","incoming"
"Cyprus","Finland",NA,"FI","incoming"
"Cyprus","France",0,"FR","incoming"
"Cyprus","Croatia",0,"HR","incoming"
"Cyprus","Hungary",0,"HU","incoming"
"Cyprus","Ireland",0,"IE","incoming"
"Cyprus","Iceland",NA,"IS","incoming"
"Cyprus","Italy",NA,"IT","incoming"
"Cyprus","Liechtenstein",0,"LI","incoming"
"Cyprus","Lithuania",0,"LT","incoming"
"Cyprus","Luxembourg",0,"LU","incoming"
"Cyprus","Latvia",0,"LV","incoming"
"Cyprus","Malta",0,"MT","incoming"
"Cyprus","Netherlands",NA,"NL","incoming"
"Cyprus","Norway",NA,"NO","incoming"
"Cyprus","Poland",NA,"PL","incoming"
"Cyprus","Portugal",NA,"PT","incoming"
"Cyprus","Romania",0,"RO","incoming"
"Cyprus","Sweden",0,"SE","incoming"
"Cyprus","Slovenia",0,"SI","incoming"
"Cyprus","Slovakia",0,"SK","incoming"
"Cyprus","United Kingdom",1,"UK","incoming"
"Czech Republic","Austria",NA,"AT","incoming"
"Czech Republic","Belgium",1,"BE","incoming"
"Czech Republic","Bulgaria",0,"BG","incoming"
"Czech Republic","Switzerland",4,"CH","incoming"
"Czech Republic","Cyprus",NA,"CY","incoming"
"Czech Republic","Czech Republic",NA,"CZ","incoming"
"Czech Republic","Germany (until 1990 former territory of the FRG)",6,"DE","incoming"
"Czech Republic","Denmark",0,"DK","incoming"
"Czech Republic","Estonia",0,"EE","incoming"
"Czech Republic","Greece",0,"EL","incoming"
"Czech Republic","Spain",NA,"ES","incoming"
"Czech Republic","Finland",NA,"FI","incoming"
"Czech Republic","France",2,"FR","incoming"
"Czech Republic","Croatia",0,"HR","incoming"
"Czech Republic","Hungary",63,"HU","incoming"
"Czech Republic","Ireland",0,"IE","incoming"
"Czech Republic","Iceland",NA,"IS","incoming"
"Czech Republic","Italy",NA,"IT","incoming"
"Czech Republic","Liechtenstein",0,"LI","incoming"
"Czech Republic","Lithuania",0,"LT","incoming"
"Czech Republic","Luxembourg",0,"LU","incoming"
"Czech Republic","Latvia",0,"LV","incoming"
"Czech Republic","Malta",1,"MT","incoming"
"Czech Republic","Netherlands",NA,"NL","incoming"
"Czech Republic","Norway",NA,"NO","incoming"
"Czech Republic","Poland",NA,"PL","incoming"
"Czech Republic","Portugal",NA,"PT","incoming"
"Czech Republic","Romania",0,"RO","incoming"
"Czech Republic","Sweden",0,"SE","incoming"
"Czech Republic","Slovenia",0,"SI","incoming"
"Czech Republic","Slovakia",6,"SK","incoming"
"Czech Republic","United Kingdom",0,"UK","incoming"
"Germany (until 1990 former territory of the FRG)","Austria",NA,"AT","incoming"
"Germany (until 1990 former territory of the FRG)","Belgium",1006,"BE","incoming"
"Germany (until 1990 former territory of the FRG)","Bulgaria",13,"BG","incoming"
"Germany (until 1990 former territory of the FRG)","Switzerland",317,"CH","incoming"
"Germany (until 1990 former territory of the FRG)","Cyprus",NA,"CY","incoming"
"Germany (until 1990 former territory of the FRG)","Czech Republic",NA,"CZ","incoming"
"Germany (until 1990 former territory of the FRG)","Germany (until 1990 former territory of the FRG)",0,"DE","incoming"
"Germany (until 1990 former territory of the FRG)","Denmark",45,"DK","incoming"
"Germany (until 1990 former territory of the FRG)","Estonia",2,"EE","incoming"
"Germany (until 1990 former territory of the FRG)","Greece",0,"EL","incoming"
